Index,Metrics,Value
0,commits,50
0,stars,1
0,size,10493
0,Contributors,1
0,Forks,3
0,Age,3
1,commits,1
1,stars,2
1,size,448
1,Contributors,0
1,Forks,0
1,Age,0
2,commits,20
2,stars,1
2,size,1491
2,Contributors,1
2,Forks,0
2,Age,1
3,commits,1
3,stars,2
3,size,17573
3,Contributors,1
3,Forks,0
3,Age,0
4,commits,2
4,stars,0
4,size,1256
4,Contributors,1
4,Forks,0
4,Age,0
5,stars,0
5,size,44997
5,Forks,0
5,Age,0
6,commits,5
6,stars,0
6,size,309
6,Contributors,1
6,Forks,0
6,Age,1
7,commits,672
7,stars,0
7,size,12764
7,Forks,0
7,Age,0
8,commits,6
8,stars,3
8,Contributors,1
8,Forks,2
8,Age,2
9,commits,49
9,size,1578
9,Contributors,2
9,Age,4
10,stars,1
10,size,29876
10,Forks,0
10,Age,1
11,commits,66
11,stars,0
11,size,32880
11,Contributors,2
11,Forks,0
11,Age,2
12,commits,678
12,stars,0
12,size,10455
12,Forks,1
12,Age,0
13,commits,15
13,stars,0
13,size,120957
13,Contributors,1
13,Forks,0
13,Age,0
14,commits,662
14,stars,1
14,size,23584
14,Forks,0
14,Age,0
15,stars,0
15,size,44494
15,Forks,0
15,Age,0
16,commits,384
16,size,24759
16,Contributors,7
16,Age,7
17,size,55867
17,Age,6
18,commits,3
18,stars,0
18,Contributors,1
18,Forks,0
18,Age,0
19,commits,16
19,stars,0
19,size,8557
19,Contributors,3
19,Forks,0
19,Age,0
20,commits,1
20,stars,0
20,size,0
20,Contributors,0
20,Forks,0
20,Age,0
21,commits,39
21,stars,21
21,size,12272
21,Contributors,1
21,Forks,2
21,Age,0
22,commits,5
22,stars,1
22,size,2146
22,Contributors,1
22,Forks,1
22,Age,0
23,commits,3
23,stars,0
23,size,0
23,Contributors,1
23,Forks,0
23,Age,0
24,commits,3
24,stars,0
24,size,10914
24,Contributors,1
24,Forks,0
24,Age,0
25,commits,26
25,stars,0
25,size,264622
25,Contributors,2
25,Forks,0
25,Age,0
26,commits,372
26,stars,0
26,size,28748
26,Contributors,1
26,Forks,0
27,commits,3
27,stars,0
27,size,114
27,Contributors,1
27,Forks,0
27,Age,0
28,commits,68
28,stars,9
28,size,73
28,Contributors,3
28,Forks,0
29,commits,2
29,stars,1
29,size,65
29,Contributors,2
29,Forks,0
29,Age,0
30,commits,344
30,size,63925
30,Contributors,5
30,Forks,1
30,Age,3
31,commits,4
31,stars,0
31,size,33038
31,Contributors,2
31,Forks,0
31,Age,0
32,commits,2
32,stars,3
32,size,80
32,Contributors,1
32,Forks,0
32,Age,0
33,commits,41
33,stars,4
33,size,641
33,Contributors,2
33,Forks,0
33,Age,0
34,commits,172
34,stars,5
34,size,1704
34,Contributors,2
34,Forks,2
34,Age,1
35,commits,4
35,stars,1
35,size,440
35,Contributors,1
35,Forks,1
35,Age,0
36,commits,67
36,stars,3
36,size,432
36,Contributors,1
36,Forks,0
36,Age,0
37,commits,4
37,stars,0
37,size,51
37,Contributors,1
37,Forks,0
37,Age,0
38,commits,226
38,size,236271
38,Contributors,6
38,Age,9
39,commits,5
39,stars,8
39,size,676
39,Contributors,2
39,Forks,1
39,Age,1
40,commits,7
40,stars,0
40,size,169320
40,Contributors,1
40,Forks,0
41,commits,229
41,stars,2
41,size,117062
41,Contributors,3
41,Forks,1
41,Age,6
42,commits,226
42,stars,0
42,size,230828
42,Contributors,6
42,Forks,0
42,Age,0
43,commits,39
43,stars,1
43,size,72907
43,Contributors,1
43,Forks,0
43,Age,2
44,commits,10
44,stars,0
44,size,73527
44,Contributors,1
44,Forks,0
44,Age,0
45,commits,7
45,stars,0
45,size,10
45,Contributors,1
45,Forks,0
45,Age,0
46,commits,152
46,stars,2
46,size,695
46,Contributors,1
46,Forks,0
46,Age,4
47,commits,165
47,stars,0
47,size,11316
47,Contributors,2
47,Forks,0
47,Age,2
48,commits,5
48,stars,1
48,size,379
48,Contributors,1
48,Forks,0
48,Age,0
49,commits,16
49,stars,0
49,size,40
49,Contributors,1
49,Forks,0
49,Age,0
50,commits,206
50,stars,1
50,Contributors,9
50,Forks,4
50,Age,2
51,commits,4
51,stars,0
51,size,33275
51,Contributors,0
51,Forks,0
51,Age,0
