Age_range,Metrics,Value
91-180,commits,50
91-180,stars,1
91-180,size,10493
91-180,AutoML-functions,30
91-180,unique-functions,2
91-180,AutoML-tools,2
0-90,commits,1
0-90,stars,2
0-90,size,448
0-90,AutoML-functions,4
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,20
0-90,stars,1
0-90,size,1491
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1
0-90,stars,2
0-90,size,17573
0-90,AutoML-functions,45
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,1256
0-90,AutoML-functions,9
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2276
0-90,stars,0
0-90,size,44997
0-90,AutoML-functions,137
0-90,unique-functions,3
0-90,AutoML-tools,3
0-90,commits,5
0-90,stars,0
0-90,size,309
0-90,AutoML-functions,20
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,672
0-90,stars,0
0-90,size,12764
0-90,AutoML-functions,40
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,6
0-90,stars,3
0-90,size,1366108
0-90,AutoML-functions,167
0-90,unique-functions,6
0-90,AutoML-tools,6
91-180,commits,49
91-180,stars,40
91-180,size,1578
91-180,AutoML-functions,10
91-180,unique-functions,2
91-180,AutoML-tools,2
0-90,commits,1851
0-90,stars,1
0-90,size,29876
0-90,AutoML-functions,50
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,66
0-90,stars,0
0-90,size,32880
0-90,AutoML-functions,29
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,678
0-90,stars,0
0-90,size,10455
0-90,AutoML-functions,9
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,15
0-90,stars,0
0-90,size,120957
0-90,AutoML-functions,15
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,662
0-90,stars,1
0-90,size,23584
0-90,AutoML-functions,13
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2292
0-90,stars,0
0-90,size,44494
0-90,AutoML-functions,26
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,384
181-270,stars,117
181-270,size,24759
181-270,AutoML-functions,7
181-270,unique-functions,1
181-270,AutoML-tools,1
>720,commits,2404
>720,stars,10640
>720,size,55867
>720,AutoML-functions,55
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,605043
0-90,AutoML-functions,16
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,16
0-90,stars,0
0-90,size,8557
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1
0-90,stars,0
0-90,size,0
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,39
0-90,stars,21
0-90,size,12272
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,5
0-90,stars,1
0-90,size,2146
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,0
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,3
0-90,stars,0
0-90,size,10914
0-90,AutoML-functions,14
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,26
0-90,stars,0
0-90,size,264622
0-90,AutoML-functions,21
0-90,unique-functions,2
0-90,AutoML-tools,2
>720,commits,372
>720,stars,0
>720,size,28748
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,114
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
271-360,commits,68
271-360,stars,9
271-360,size,73
271-360,AutoML-functions,1
271-360,unique-functions,1
271-360,AutoML-tools,1
0-90,commits,2
0-90,stars,1
0-90,size,65
0-90,AutoML-functions,7
0-90,unique-functions,1
0-90,AutoML-tools,1
451-540,commits,344
451-540,stars,30
451-540,size,63925
451-540,AutoML-functions,9
451-540,unique-functions,1
451-540,AutoML-tools,1
0-90,commits,4
0-90,stars,0
0-90,size,33038
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,2
0-90,stars,3
0-90,size,80
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,41
0-90,stars,4
0-90,size,641
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
361-450,commits,172
361-450,stars,5
361-450,size,1704
361-450,AutoML-functions,1
361-450,unique-functions,1
361-450,AutoML-tools,1
0-90,commits,4
0-90,stars,1
0-90,size,440
0-90,AutoML-functions,7
0-90,unique-functions,2
0-90,AutoML-tools,2
0-90,commits,67
0-90,stars,3
0-90,size,432
