commits,projects
50,68
1,1367
20,244
2,1575
2276,1
5,861
672,1
6,723
49,68
1851,1
66,62
678,1
15,274
662,6
2292,1
384,5
2404,2
3,1205
16,250
39,92
26,202
372,3
68,38
344,9
4,983
41,110
172,10
67,54
226,7
7,602
229,5
10,455
152,20
165,19
206,7
536,3
113,21
91,31
14,320
43,83
19,254
12,363
1827,1
27,158
1485,1
228,7
46,86
25,190
436,3
22,190
1074,1
58,55
109,25
9,477
94,31
52,75
8,559
40,112
101,36
90,32
78,45
64,52
36,129
42,101
443,4
564,1
17,240
189,8
135,25
24,185
328,1
35,118
75,44
84,35
11,413
23,220
63,70
57,57
341,2
31,146
182,6
638,3
86,35
34,140
105,28
61,60
13,313
28,157
423,6
6027,1
79,48
88,33
47,84
18,228
7006,2
5218,1
390,2
5977,1
103,32
44,97
220,6
74,47
131,22
53,75
54,70
21,203
56,61
59,63
45,94
108,23
489,3
30,126
142,15
32,142
499,3
144,21
70,45
736,2
201,10
71,52
1310,3
140,17
255,4
406,5
3381,1
1185,1
1309,3
350,4
985,1
80,37
175,13
62,73
29,137
92,32
164,11
93,33
231,6
365,6
110,29
37,99
48,85
100,30
292,3
167,16
119,18
145,21
322,1
159,13
115,22
178,16
98,31
250,6
151,13
127,22
400,2
121,22
2682,1
367,3
33,131
259,8
107,31
1760,1
118,18
1767,2
85,33
1893,1
348,6
2153,1
38,128
83,32
2368,1
73,41
401,4
701,2
81,42
479,5
632,3
242,8
200,9
157,8
137,15
112,20
163,10
1382,1
125,18
95,14
106,24
160,16
123,28
51,81
69,44
114,22
132,22
197,8
196,9
209,15
187,9
796,1
1475,1
276,6
87,40
569,1
589,2
219,6
1403,1
55,74
253,8
169,15
407,5
1528,1
199,14
89,35
416,2
129,15
124,19
388,2
82,31
120,12
279,6
65,60
96,34
3771,1
1246,2
166,16
60,57
1104,3
571,1
5989,1
4206,1
150,15
549,3
251,12
77,43
221,8
720,1
347,5
97,25
227,5
316,6
1228,1
241,6
141,21
281,3
170,10
146,11
289,6
567,2
524,3
117,17
375,5
291,6
789,1
188,11
507,3
126,25
323,5
122,18
288,4
332,3
314,5
366,3
464,2
1662,1
104,23
76,48
1037,1
346,6
326,8
177,10
1626,1
153,12
143,15
1580,2
319,4
1082,3
252,9
893,2
327,2
72,33
1001,2
130,19
737,3
212,8
640,1
139,9
195,9
2640,1
607,3
1598,1
265,6
574,2
2686,1
267,8
268,6
619,2
1648,1
4973,1
715,3
283,12
4933,1
4875,1
5016,1
952,1
1687,1
2689,1
1628,2
1633,1
614,1
2771,1
4861,1
190,11
844,2
1117,3
1045,1
2718,1
1423,1
180,12
102,20
193,5
133,14
236,10
455,3
484,4
280,5
155,17
917,1
568,3
198,14
99,30
1039,2
618,2
224,6
3698,1
111,20
273,4
116,21
331,3
663,4
756,2
351,3
237,7
134,20
174,14
179,11
264,6
218,3
553,2
4309,1
517,2
308,2
239,5
533,5
551,1
418,1
565,4
136,18
2322,1
290,3
205,7
799,1
601,4
2099,1
1440,1
186,8
1274,1
355,3
154,15
246,9
3910,1
1069,1
285,8
183,16
171,14
387,2
211,10
147,16
194,8
162,11
185,10
1004,2
444,4
263,4
356,1
307,1
832,1
480,1
560,1
532,2
491,2
634,3
471,2
128,23
192,3
1381,1
249,9
240,6
2268,1
148,21
492,2
430,4
207,9
10614,1
925,1
340,5
1194,1
513,3
5582,1
315,2
1566,1
518,6
304,7
397,4
1292,2
333,2
1238,2
1828,1
334,6
11799,1
191,12
8783,2
277,4
605,4
12799,1
428,2
727,2
184,7
297,8
13404,1
1810,1
631,1
1105,1
7010,1
13252,1
11491,1
11529,1
161,12
13998,1
923,1
13382,1
762,1
298,6
9029,1
8487,1
310,4
725,3
13775,1
422,2
871,1
13496,1
11934,1
233,10
12209,1
149,12
13872,1
12043,1
294,6
335,4
2685,1
5842,1
7715,2
6761,1
213,7
6579,1
1005,2
6181,2
7257,1
8795,1
6969,1
457,2
2021,1
1326,1
202,4
382,3
820,1
728,3
782,1
566,2
1168,2
1017,2
9068,1
266,1
1124,1
4569,1
9635,1
597,2
427,5
2084,2
1097,2
230,4
620,1
378,3
2491,1
223,2
301,4
1183,1
232,2
575,3
849,2
2122,1
815,1
579,1
2342,1
1259,1
714,2
421,2
870,3
540,1
208,6
613,5
2707,1
2605,1
883,1
5103,1
361,5
317,3
5321,1
312,4
730,1
210,7
477,1
2866,2
258,6
2211,1
2867,2
2192,1
3376,1
932,1
243,9
3829,1
2248,1
274,4
420,5
453,2
3393,1
962,2
961,1
313,6
272,4
6699,1
8329,1
8670,1
204,7
408,3
7451,1
7247,1
974,1
271,8
1187,1
19706,1
943,1
7929,1
465,5
1603,1
269,5
570,2
592,1
405,5
557,5
1206,3
1937,2
1300,2
545,1
643,3
642,1
1892,2
216,5
964,1
1762,1
887,1
1565,1
260,7
181,10
342,3
173,11
1913,1
168,11
371,1
176,10
377,1
598,1
697,3
389,3
1114,2
299,6
4731,1
559,1
300,7
1144,3
1588,1
3873,1
203,8
442,1
1281,1
425,1
624,5
603,2
460,2
602,1
705,2
740,1
4645,1
2320,1
296,6
4563,1
4484,1
508,1
235,10
138,19
651,1
215,11
1106,3
275,5
336,2
4268,1
3925,1
1540,1
2191,1
409,6
550,4
284,4
238,8
2147,2
3810,1
717,3
852,1
1127,1
1442,1
785,1
665,3
703,2
379,5
1115,1
661,2
1462,1
2389,1
6927,1
3069,1
1402,1
1291,1
426,1
1123,1
234,7
1247,3
1125,3
454,2
935,2
6146,1
325,4
529,3
447,2
256,3
359,2
878,1
225,6
954,2
1160,3
875,1
510,2
855,2
1062,1
1165,2
722,1
793,1
636,2
3100,1
1172,1
156,9
481,1
1446,1
1555,1
990,1
415,2
270,7
1372,1
363,5
467,6
486,2
368,3
286,2
538,1
526,1
392,4
633,1
3003,1
309,2
1031,1
1791,1
1994,1
576,1
711,3
1141,1
222,4
1777,1
1858,1
357,3
695,1
303,4
287,3
248,3
468,1
2555,1
886,3
1593,1
214,9
872,1
933,1
668,3
693,1
503,2
6407,1
158,10
217,6
475,4
449,2
625,2
726,1
873,1
393,1
920,1
818,1
1121,1
657,1
452,3
318,4
451,2
1461,2
362,3
561,2
682,3
1815,1
515,1
1378,1
708,2
302,5
381,3
395,1
1263,1
504,5
751,2
2391,1
581,5
1293,2
293,3
3274,1
473,1
763,3
1591,1
1710,1
2013,2
2196,2
1701,1
1839,1
2335,1
2582,1
