commits,projects
10493,1
448,5
1491,1
17573,1
1256,4
44997,1
309,3
12764,1
1366108,1
1578,3
29876,2
32880,1
10455,2
120957,1
23584,1
44494,1
24759,1
55867,1
605043,1
8557,3
0,15
12272,1
2146,1
10914,1
264622,1
28748,1
114,14
73,17
65,14
63925,1
33038,1
80,15
641,2
1704,2
440,5
432,4
51,27
236271,1
676,6
169320,1
117062,1
230828,1
72907,1
73527,1
10,80
695,2
11316,1
379,8
40,27
805934,1
33275,1
297133,1
759435,1
35099,1
31,45
24058,1
46255,1
1037,4
4,69
1867,3
72,21
17,67
58244,1
2,51
2384,1
26475,1
4676,1
786,5
323317,1
37136,1
6982,1
4004,2
44,22
46,23
1055,2
6100,1
11,82
243,5
43649,1
107999,1
4538,1
2347,1
290336,1
41622,1
111,19
1641,3
16262,1
471,6
26457,2
100,12
134,8
10302,1
212,8
115168,1
30072,1
8049,1
11921,1
274126,1
38,33
9690,3
2924,3
557,3
779,3
14642,1
24,45
45,21
427,7
515,5
388,10
4292,1
12,66
1010,1
331,4
828,2
79,24
33957,1
2037,2
44731,1
132804,1
98,19
42339,1
2150,3
988,2
7851,1
139,11
17125,1
8149,1
111944,1
3100,2
2046,1
8528,1
8,76
4449,1
12086,2
2877,1
87885,1
93,17
40349,1
72499,1
7416,2
5,77
116,14
428,4
1732,1
895597,1
18833,1
28,44
51420,1
223,9
71408,1
29720,1
57,15
3691,2
11337,1
251,7
133,16
3060,1
67685,2
1607,2
18132,1
81,16
110606,1
21729,1
12959,1
66050,1
9171,1
165049,1
25554,1
46318,1
1960,2
291710,1
1366,3
14361,1
3,63
79748,1
1712,2
2064,2
6,83
258841,1
8290,1
1355,2
102657,1
1036120,1
1319,3
2226,10
155740,1
865,3
11467,2
2667,3
450,4
120268,1
413033,1
16138,1
208,11
5784,1
341,5
9694,1
67432,1
200833,2
28495,1
262035,1
35,35
2015399,1
1453,1
204885,1
150,12
199790,1
647360,1
1226824,1
13133,1
77,18
85272,1
18,55
362,4
806,5
32979,1
1226823,1
266426,1
91350,1
2301,1
20493,1
15159,2
7822,1
10127,1
2823,1
438,4
2119,2
386235,1
59,28
1208,2
36909,1
43323,1
68,24
73072,1
18909,2
165400,1
21402,1
276061,1
932,3
33266,1
147,8
175,9
290903,1
64982,1
20383,1
16,66
528,3
318,7
808,3
287225,1
22,42
463,10
247976,1
14906,2
3209,2
1809,1
108775,1
83,15
51739,1
35014,1
13494,1
189,7
19237,1
6288,1
6693,2
28664,1
1734,2
44256,1
60,24
1110,5
23514,1
3352,1
97,11
437,3
92561,1
275667,1
213415,1
13,52
22642,2
180,11
151418,1
221908,1
5460,4
27040,2
2244,3
4519,2
10745,1
29,45
46232,1
139173,1
196,7
355949,1
3164,2
396507,1
15,66
60368,1
411,8
279,4
209,7
35679,1
28858,1
4897,1
