AutoML,Model management,Storage management,Data management,Logging,Other,Visualization,User Interface,Feature engineering,Hyperparameter optimization,Parallelize searching space,other,Utility function,Pipeline management,TOTAL,,Model management,Storage management,Data management,Logging,Other,Visualization,User Interface,Feature engineering,Hyperparameter optimization,Parallelize searching space,other,Utility function,Pipeline management
autosklearn,50,2,9,3,0,0,0,1,3,0,0,4,0,72,,69.4,2.8,12.5,4.2,0,0,0,1.4,4.2,0,0,5.6,0
ax,2,2,1,2,5,10,0,0,26,0,1,3,0,52,,3.8,3.8,1.9,3.8,9.6,19.2,0,0,50,0,1.9,5.8,0
bayes_opt,2,0,0,1,0,2,0,0,13,0,0,1,0,19,,10.5,0,0,5.3,0,10.5,0,0,68.4,0,0,5.3,0
hyperopt,0,2,7,2,1,1,0,0,37,1,0,1,0,52,,0,3.8,13.5,3.8,1.9,1.9,0,0,71.2,1.9,0,1.9,0
snorkel,26,0,43,0,1,0,1,0,1,0,0,3,0,75,,34.7,0,57.3,0,1.3,0,1.3,0,1.3,0,0,4,0
tpot,16,0,10,2,2,0,0,0,3,0,0,1,10,44,,36.4,0,22.7,4.5,4.5,0,0,0,6.8,0,0,2.3,22.7
featuretools,0,0,14,1,2,1,0,18,0,0,0,4,0,40,,0,0,35,2.5,5,2.5,0,45,0,0,0,10,0
optuna,5,5,6,10,12,28,2,0,81,0,0,1,0,150,,3.3,3.3,4,6.7,8,18.7,1.3,0,54,0,0,0.7,0
autokeras,61,0,13,0,1,0,0,0,3,0,0,3,0,81,,75.3,0,16,0,1.2,0,0,0,3.7,0,0,3.7,0
skopt,3,0,0,0,2,5,0,0,24,0,0,0,0,34,,8.8,0,0,0,5.9,14.7,0,0,70.6,0,0,0,0
,,,,,,,,,,,,,,,,24.2,1.4,16.3,3.1,3.7,6.8,0.3,4.6,33,0.2,0.2,3.9,2.3
