Stages,Hyperopt,Facebook-Ax,AutoKeras,Featuretools,Bayes-Opt,Optuna,Snorkel,Tpot,AutoSklearn,Skopt,TOTAL
1 Data collection,11.54,0,3.57,12.82,0,1.44,9.46,0,2.7,0,4.153
4 Feature engineering,5.77,0,8.33,66.67,0,0,2.7,9.3,5.41,0,9.818
Others,1.92,2.08,3.57,7.69,5.26,2.16,4.05,4.65,5.41,3.13,3.992
9 Model monitoring,3.85,4.17,0,2.56,5.26,11.51,0,4.65,4.05,3.13,3.918
2 Data cleaning,3.85,20.83,3.57,10.26,10.53,17.99,21.62,11.63,5.41,12.5,11.819
8 Model deployment,0,2.08,7.14,0,0,0.72,1.35,18.6,1.35,0,3.124
6 Model training,0,4.17,40.48,0,0,2.16,16.22,23.26,25.68,3.13,11.51
7 Model evaluation,0,0,25,0,0,0.72,16.22,18.6,44.59,3.13,10.826
5 Hyperparameter Optimization,73.08,66.67,8.33,0,78.95,63.31,1.35,9.3,4.05,75,38.004
3 Data labeling,0,0,0,0,0,0,27.03,0,1.35,0,2.838
