AutoML,User Interface,Storage management,Logging,Visualization,Pipeline management,Feature engineering,Utility function,Data management,Model management,HPO,Others
Auto-sklearn,0,2.8,4.2,0,0,1.4,5.6,12.5,69.4,4.2,0
Facebook-Ax,0,3.8,3.8,19.2,0,0,5.8,1.9,3.8,50,11.5
Bayes-opt,0,0,5.3,10.5,0,0,5.3,0,10.5,68.4,0
Hyperopt,0,3.8,3.8,1.9,0,0,1.9,13.5,0,73.1,1.9
Snorkel,1.3,0,0,0,0,0,4,57.3,34.7,1.3,1.3
Tpot,0,0,4.5,0,22.7,0,2.3,22.7,36.4,6.8,4.5
Featuretools,0,0,2.5,2.5,0,45,10,35,0,0,5
Optuna,1.3,3.3,6.7,18.7,0,0,0.7,4,3.3,54,8
Autokeras,0,0,0,0,0,0,3.7,16,75.3,3.7,1.2
Skopt,0,0,0,14.7,0,0,0,0,8.8,70.6,5.9
