stages,No.,purpose,,,,,
model requirements,1,Hyperparameter optimization -> minimize/maximize objective function,11,1.8,,HPO,30.6
data collection,25,Hyperparameter optimization -> Execute optimization,45,7.2,,Model,26.5
data cleaning,38,Model management -> Define/generate model,23,3.7,,Data,15
data labeling,21,Data management -> Data/feature  transform,2,0.3,,Utility,3.2
feature engineering,47,Model management -> Export/import model,11,1.8,,Pipeline,1.9
model training,81,Hyperparameter optimization -> search space management,24,3.9,,Features,
hyperparameter optimization,233,Data management -> Data labeling,16,2.6,,,
model evaluation,78,Feature engineering -> feature generation/extraction,6,1,,,
model deployment,18,Model management -> Model evaluation/Model error analysis,58,9.3,,,
model monitoring,28,Logging,21,3.4,,,
other,28,Model management -> Execute model fitting/refitting,39,6.3,,,
utility ,21,Hyperparameter optimization -> Evaluate objective function,15,2.4,,,
sum,619,Pipeline management -> Pipeline export,6,1,,,
,,Data management -> Data loading,16,2.6,,,
,,Model management -> Score model,13,2.1,,,
,,Data management -> Data generation,1,0.2,,,
,,Other,28,4.5,,,
,,Model management -> Model/training report,12,1.9,,,
,,Hyperparameter optimization->Report optimization,14,2.3,,,
,,Hyperparameter optimization->Suggest Parameter,10,1.6,,,
,,Data management -> Data formating,4,0.6,,,
,,Hyperparameter optimization -> Sample parameters,13,2.1,,,
,,Data management -> Data validation,4,0.6,,,
,,Model management -> Model monitoring,2,0.3,,,
,,Data management -> Data analysis,21,3.4,,,
,,Hyperparameter optimization -> Export optimization,7,1.1,,,
,,Hyperparameter optimization- > Prunning,7,1.1,,,
,,Hyperparameter optimization -> Search space transformation,3,0.5,,,
,,Utility function -> dependency management,4,0.6,,,
,,Visualization,46,7.4,,,
,,Data management -> Data/feature transform,20,3.2,,,
,,Hyperparameter optimization -> Setup/get hyperparameter,8,1.3,,,
,,Feature engineering -> Feature analysis,13,2.1,,,
,,Utility function -> Manage session,5,0.8,,,
,,Hyperparameter optimization -> Manage objective function,9,1.4,,,
,,Data management -> Data preprocessing,2,0.3,,,
,,Data management -> Data export,4,0.6,,,
,,Data management -> Data cleaning/ filtering,8,1.3,,,
,,Hyperparameter optimization -> Setup hyperparameter,8,1.3,,,
,,Data management -> Data initialization,2,0.3,,,
,,Data management -> Data sampling,3,0.5,,,
,,Hyperparameter optimization -> Report/get best parameters,4,0.6,,,
,,Model management -> Load model,2,0.3,,,
,,Hyperparameter optimization -> analyze optimization details,7,1.1,,,
,,Storage management,13,2.1,,,
,,Pipeline management -> Get pipeline complexity,1,0.2,,,
,,Hyperparameter optimization -> Documentation,2,0.3,,,
,,Pipeline management -> Pipeline optimization,1,0.2,,,
,,Pipeline management -> Score pipeline,2,0.3,,,
,,Utility function -> pipeline configuration,2,0.3,,,
,,Utility function -> Helper function,1,0.2,,,
,,Parallelize searching space,1,0.2,,,
,,Utility function -> Input/Output operation,3,0.5,,,
,,Model management -> Meta-learning,4,0.6,,,
,,Utility function -> Manage timezone,2,0.3,,,
,,Hyperparameter optimization -> Get parameter importance,4,0.6,,,
,,Model management -> Optimize training performance,1,0.2,,,
,,Utility function -> show progress,3,0.5,,,
,,User Interface,3,0.5,,,
,,Utility function -> Thread execution,1,0.2,,,
,,Sum,621,,,,
